Wall time,Step,Value
1678192554.468897,136743,0.0
1678192559.883382,136869,0.0
1678192571.260252,137177,0.0
1678192600.695037,138298,0.0
1678192612.653198,138699,0.0
1678192618.475358,138896,0.0
1678192685.408428,139190,0.0
1678192693.581422,139420,0.0
1678192700.760004,139620,0.0
1678192713.058751,140120,0.0
1678192714.167714,140130,0.0
1678192725.544386,140572,0.0
1678192745.812574,141282,0.0
1678192748.68381,141333,0.0
1678192763.545316,141898,0.0
1678192787.538324,142653,0.0
1678192801.814667,143090,0.0
1678192804.991152,143149,0.0
1678192821.983226,143617,0.0
1678192829.672988,143901,0.0
1678192831.672545,143950,0.0
1678192843.198592,144450,0.0
1678192844.433663,144459,0.0
1678192863.374501,145116,0.0
1678192877.44057,145635,0.0
1678192902.473121,146333,0.0
1678192905.83424,146394,0.0
1678192911.287809,146552,0.0
1678192914.600561,146616,0.0
1678192921.158723,146778,0.0
1678192927.882676,146989,0.0
1678192932.554961,147112,0.0
1678192937.044422,147268,0.0
1678192946.185701,147635,0.0
1678192952.106088,147720,0.0
1678192955.036673,147808,0.0
1678192975.001118,148451,0.0
1678192981.417874,149240,0.0
1678192999.825465,149944,0.0
1678193011.91054,150443,0.0
1678193013.575189,150480,0.0
1678193031.871853,151133,0.0
1678193117.90764,151948,0.0
1678193144.615899,152976,0.0
1678193145.803905,152994,0.0
1678193146.800437,153002,0.0
1678193166.781449,153735,0.0
1678193180.028104,154277,0.0
1678193183.517779,154356,0.0
1678193195.018029,154856,0.0
1678193206.794651,155295,0.0
1678193236.778484,156403,0.0
1678193243.465116,156614,0.0
1678193248.40149,156791,0.0
1678193261.165173,157226,0.0
1678193263.642059,157293,0.0
1678193267.695084,157388,0.0
1678193270.034382,157451,0.0
1678193285.705556,157989,0.0
1678193299.925568,158541,0.0
1678193304.078173,158632,0.0
1678193310.248237,158809,0.0
1678193332.624441,159654,0.0
1678193340.644045,159886,0.0
1678193341.596896,159895,0.0
1678193344.198712,159967,0.0
1678193370.898716,160775,0.0
1678193392.4357,161602,0.0
1678193399.835308,161796,0.0
1678193416.015649,162258,0.0
1678193418.964273,162299,0.0
1678193422.710705,162437,0.0
1678193425.670075,162537,0.0
1678193449.640484,163456,0.0
1678193464.603533,164027,0.0
1678193471.075229,164260,0.0
1678193474.411204,164303,0.0
1678193498.929618,165261,0.0
1678193511.679681,165761,0.0
1678193591.430109,166107,0.0
1678193623.853792,167225,0.0
1678193629.431296,167425,0.0
1678193642.028132,167925,0.0
1678193680.205824,169266,0.0
1678193687.413022,169404,0.0
1678193708.295453,170098,0.0
1678193711.747463,170175,0.0
1678193717.572873,170275,0.0
1678193744.404757,171349,0.0
1678193778.133192,172518,0.0
1678193788.510134,172746,0.0
1678193794.787653,172964,0.0
1678193806.113927,173374,0.0
1678193806.956987,173382,0.0
1678193808.390951,173411,0.0
1678193809.326838,173419,0.0
1678193813.21501,173569,0.0
1678193818.247195,173684,0.0
1678193820.48245,173750,0.0
1678193834.730064,174227,0.0
1678193835.960191,174234,0.0
1678193884.410827,176124,0.0
1678193901.898217,176775,0.0
1678193933.614723,178027,0.0
1678193943.287085,178417,0.0
1678193944.310122,178426,0.0
1678193960.748303,178940,0.0
1678193985.396763,179854,0.0
1678194028.188992,181502,0.0
1678194041.650489,181917,0.0
1678194130.876539,182433,0.0
1678194131.913566,182441,0.0
1678194143.508494,182882,0.0
1678194149.529061,182993,0.0
1678194179.233336,184064,0.0
1678194205.869357,185023,0.0
1678194222.777686,185537,0.0
1678194230.288312,185781,0.0
1678194234.144956,185842,0.0
1678194244.266949,186232,0.0
1678194249.579068,186395,0.0
1678194286.563064,187724,0.0
1678194345.779117,189849,0.0
1678194364.022551,190544,0.0
1678194414.964693,192477,0.0
1678194464.775555,194290,0.0
1678194479.481519,194756,0.0
1678194480.550412,194770,0.0
1678194487.680488,195033,0.0
1678194489.475302,195071,0.0
1678194494.431066,195259,0.0
1678194548.26852,197448,0.0
1678194550.846014,197498,0.0
1678194586.576369,198872,0.0
1678194625.52105,200399,0.0
1678194652.927268,201429,0.0
1678194676.729413,202300,0.0
1678194789.600081,203419,0.0
1678194915.840517,208078,0.0
1678194935.162716,208807,0.0
1678194975.090038,210197,0.0
1678195017.46122,211878,0.0
1678195019.633186,211898,0.0
1678195032.025555,212398,0.0
1678195032.955671,212405,0.0
1678195044.868065,212898,0.0
1678195094.67064,214795,0.0
1678195098.508209,214893,0.0
1678195125.250939,215998,0.0
1678195140.326885,216562,0.0
1678195153.466351,217062,0.0
1678195177.651314,218062,0.0
1678195178.779053,218070,0.0
1678195261.149576,221371,0.0
1678195273.48972,221871,0.0
1678195298.237021,222805,0.0
1678195373.822943,226046,0.0
1678195414.528557,227784,0.0
1678195440.705328,228805,0.0
1678195474.919072,230151,0.0
1678195602.500831,231584,0.0
1678195604.722787,231655,0.0
1678195639.551379,233130,0.0
1678195718.352667,236393,0.0
1678195728.826834,236794,0.0
1678195741.690958,237294,0.0
1678195745.3039,237379,0.0
1678195764.056293,238123,0.0
1678195765.743843,238130,0.0
1678195855.079763,241569,0.0
1678195877.668854,242339,0.0
1678195897.665129,243256,0.0
1678195909.362139,243756,0.0
1678195929.613375,244539,0.0
1678195979.185062,246411,0.0
1678196003.266917,247422,0.0
1678196015.742558,247922,0.0
1678196028.761191,248422,0.0
1678196085.661003,250507,0.0
1678196115.621479,251654,0.0
1678196127.421167,252154,0.0
1678196151.318179,253154,0.0
1678196169.958343,253869,0.0
1678196171.736107,253922,0.0
1678196172.786258,253930,0.0
1678196189.593071,254492,0.0
1678196207.266302,255158,0.0
1678196255.626365,257166,0.0
1678196352.361422,261062,0.0
1678196474.839323,261562,0.0
1678196477.645022,261645,0.0
1678196521.53935,263352,0.0
1678196533.566743,263852,0.0
1678196535.633718,263907,0.0
1678196610.771022,266828,0.0
1678196770.779017,273252,0.0
1678196819.938757,275169,0.0
1678196860.091962,276721,0.0
1678196886.725842,277721,0.0
